player computer r s p
pppps sssrs 1 0 0
pppps ssssr 0 1 1
pppps sssss 27 15 19
pppr ppps 0 0 1
pppr ppsp 2 0 2
pppr ppss 3 4 0
pppr prpp 2 0 0
pppr prrs 0 0 1
pppr prss 0 3 1
pppr pspp 0 1 1
pppr psps 0 2 0
pppr psrs 0 1 2
pppr pssp 2 0 0
pppr pssr 1 3 0
pppr psss 34 60 38
pppr rpps 0 0 1
pppr rprs 0 1 0
pppr rrpp 0 1 0
pppr rrpr 3 0 0
pppr rrrr 0 1 0
pppr rrsp 1 1 0
pppr rrsr 0 1 1
pppr rrss 11 13 8
pppr rsps 0 1 0
pppr rsrr 1 0 0
pppr rsrs 0 0 2
pppr rsss 26 41 18
pppr spss 1 2 2
pppr srps 0 0 1
pppr srss 4 0 0
pppr ssps 2 2 0
pppr ssrs 1 0 3
pppr sssp 8 4 3
pppr sssr 1 1 1
pppr ssss 65 70 39
ppprp pppsr 1 0 0
ppprp ppspp 0 2 0
ppprp prrss 0 0 1
ppprp prssr 1 0 0
ppprp psppr 0 0 1
ppprp psrsr 0 1 0
ppprp psrss 1 0 0
ppprp psssp 0 3 1
ppprp psssr 16 7 10
ppprp rppsr 0 1 0
ppprp rrsrr 0 1 0
ppprp rrssp 1 0 1
ppprp rrssr 3 2 0
ppprp rsrss 0 0 2
ppprp rsssp 2 5 0
ppprp rsssr 1 3 7
ppprp spssr 0 2 0
ppprp srpss 1 0 0
ppprp ssrsp 1 0 1
ppprp ssrss 0 0 1
ppprp ssspp 1 1 1
ppprp sssrp 0 0 1
ppprp ssssp 11 4 6
ppprp ssssr 3 7 8
ppprr ppsps 1 0 1
ppprr ppssr 1 1 1
ppprr prppp 1 0 0
ppprr prppr 1 0 0
ppprr psspp 1 0 1
ppprr pssrr 0 1 0
ppprr psssp 0 1 1
ppprr psssr 7 10 15
ppprr rrprp 2 0 0
ppprr rrprs 0 0 1
ppprr rrspr 0 0 1
ppprr rrssp 1 1 1
ppprr rrssr 3 2 3
ppprr rsssp 3 7 2
ppprr rsssr 7 1 0
ppprr rssss 5 0 0
ppprr spssr 0 1 0
ppprr srssp 2 2 0
ppprr sspsr 1 1 0
ppprr ssrss 0 1 0
ppprr ssspp 3 5 0
ppprr sssrr 1 0 0
ppprr ssssp 15 14 5
ppprr ssssr 7 12 9
ppprr sssss 2 0 0
ppprs ppssr 0 0 2
ppprs ppsss 0 0 1
ppprs prssr 0 1 0
ppprs prsss 1 0 1
ppprs pspps 0 1 0
ppprs pspsr 0 1 1
ppprs psrss 1 0 0
ppprs pssrp 0 1 0
ppprs pssrr 1 0 1
