player computer r s p
pspps rrrss 0 1 0
pspps rspps 0 1 0
pspps rspss 1 0 0
pspps rsrpp 3 1 2
pspps rsspr 2 0 0
pspps rssps 1 0 1
pspps ssrpp 2 1 3
pspps ssrps 0 1 0
pspps ssrrp 0 0 1
pspps ssrrs 0 1 0
pspr ppps 1 1 2
pspr prpp 0 1 0
pspr prps 0 0 1
pspr prrp 2 1 0
pspr prrs 1 0 0
pspr pspp 29 44 35
pspr pspr 1 0 2
pspr psps 3 2 0
pspr psrp 1 0 0
pspr psrr 1 0 0
pspr psrs 0 1 0
pspr pssp 15 11 5
pspr psss 4 1 2
pspr rppp 0 1 0
pspr rprp 2 3 1
pspr rprs 0 2 0
pspr rpss 0 0 1
pspr rrpp 4 3 2
pspr rrpr 0 2 0
pspr rrps 2 4 4
pspr rrrp 0 1 1
pspr rrrs 8 10 15
pspr rrss 0 1 0
pspr rspr 0 1 0
pspr rsps 0 0 1
pspr rsrp 27 29 28
pspr rsrr 0 2 1
pspr rsrs 1 0 1
pspr rssp 7 2 3
pspr rssr 0 1 1
pspr rsss 1 0 1
pspr sppp 1 3 2
pspr sppr 0 0 1
pspr spps 0 1 0
pspr srpp 1 4 5
pspr srpr 0 0 2
pspr sspp 0 1 0
pspr ssrp 11 17 20
pspr ssrr 9 10 8
pspr ssrs 0 1 0
pspr sssr 1 0 0
pspr ssss 0 0 1
psprp pppsr 0 1 1
psprp psppp 1 6 0
psprp psppr 0 17 7
psprp pspps 0 2 0
psprp psprp 1 1 0
psprp psspp 0 3 1
psprp psspr 1 0 0
psprp psssp 1 1 0
psprp rprpp 0 1 0
psprp rpssp 0 1 0
psprp rrppp 0 0 1
psprp rrppr 0 0 1
psprp rrpsp 1 0 0
psprp rrpsr 1 2 0
psprp rrrpr 0 1 0
psprp rrrss 4 8 2
psprp rspsr 1 0 0
psprp rsrpr 3 9 1
psprp rsrps 1 7 5
psprp rsrrr 0 1 0
psprp rsrsp 1 0 0
psprp rsspp 1 1 0
psprp rsspr 1 0 0
psprp rssrr 0 1 0
psprp rsssp 1 0 0
psprp spppr 0 0 1
psprp spprr 0 1 0
psprp srpps 2 3 0
psprp srprp 0 1 0
psprp srprs 0 0 1
psprp ssrpp 0 1 0
psprp ssrpr 4 4 3
psprp ssrps 2 4 1
psprp ssrrr 2 3 2
psprp sssss 1 0 0
psprr pppsr 1 0 0
psprr prrpp 0 0 1
psprr prrps 1 0 0
psprr prrsp 1 0 0
psprr psppp 3 4 5
psprr psppr 11 2 3
psprr pspps 0 0 1
psprr psprp 1 0 0
psprr pspsr 1 1 1
psprr psrps 0 1 0
psprr psrrr 0 1 0
psprr psspp 3 3 5
psprr psspr 1 1 0
psprr pssps 1 1 0
psprr psssp 0 4 0
psprr rprpp 0 1 0
psprr rprpr 1 0 0
psprr rrppp 1 0 1
psprr rrppr 0 1 1
psprr rrpss 1 1 0
psprr rrrss 4 1 3
psprr rsrpp 1 0 2
psprr rsrpr 3 1 1
psprr rsrps 5 6 7
psprr rsrsp 1 0 0
psprr rsspp 3 0 3
psprr rssps 1 0 0
psprr rsssr 1 0 0
psprr spppr 0 0 1
psprr srpps 1 0 0
psprr ssrpr 3 0 2
psprr ssrps 0 3 3
psprr ssrrr 2 5 2
psprr sssrs 0 1 0
psprs pppsr 0 1 0
psprs prrpr 0 1 0
psprs psppp 1 5 4
psprs psppr 2 6 23
psprs pspps 1 0 1
psprs pspsp 0 0 1
psprs pspsr 0 0 1
psprs psrsr 0 0 1
psprs psspp 1 3 6
psprs psssp 0 0 1
psprs rpppr 0 1 0
psprs rprpp 0 2 0
psprs rprpr 0 1 0
psprs rprsr 0 1 0
psprs rrppp 0 0 3
psprs rrprr 0 0 1
psprs rrpss 0 1 3
psprs rrrpp 0 0 1
psprs rrrss 0 1 9
psprs rrssp 0 0 1
psprs rsprs 0 1 0
psprs rsrpp 0 1 4
psprs rsrpr 1 2 2
psprs rsrps 4 6 9
psprs rsrrp 0 0 1
psprs rsrrs 0 1 0
psprs rsspp 1 0 1
psprs rssrr 0 1 0
psprs spppr 1 1 1
psprs sppsr 1 0 0
psprs srpps 2 1 1
psprs sspps 1 0 0
psprs ssrpp 0 0 2
psprs ssrpr 3 4 4
psprs ssrps 1 2 1
psprs ssrrp 0 1 0
psprs ssrrr 6 1 2
psps ppps 3 1 0
psps prrp 1 0 1
psps pspp 38 15 18
psps pspr 1 0 0
psps psps 2 0 0
psps psrp 2 0 0
psps pssp 5 4 3
psps pssr 1 0 1
psps rprp 1 0 1
psps rrpp 5 1 0
psps rrpr 0 1 0
psps rrps 2 1 2
psps rrrp 1 0 2
psps rrrr 0 0 1
psps rrrs 6 2 4
psps rspp 0 1 1
psps rsps 1 1 1
psps rsrp 22 5 9
psps rsrs 0 0 2
psps rssp 2 2 3
psps sppp 2 0 0
psps srpp 0 0 1
psps srrr 0 0 1
psps sspr 0 0 1
psps ssrp 19 9 12
psps ssrr 4 10 3
psps sssp 0 1 0
pspsp prrps 0 1 0
pspsp psppp 5 6 6
pspsp pspps 0 1 0
pspsp psspp 0 0 1
pspsp psspr 0 2 0
pspsp pssrp 0 1 0
pspsp rprpp 0 0 1
pspsp rrpsp 1 1 0
pspsp rrrpp 1 1 0
pspsp rrrrp 1 0 0
pspsp rrrsp 3 0 0
pspsp rrrsr 0 0 1
pspsp rsppr 0 0 1
pspsp rspss 1 0 0
pspsp rsrpp 1 6 1
pspsp rsrps 0 0 1
pspsp rsrsr 0 1 0
pspsp rsrss 0 1 0
pspsp rsspp 1 0 0
pspsp rssps 0 1 1
pspsp srpps 0 0 1
pspsp srrrs 1 0 0
pspsp ssprp 0 0 1
pspsp ssrpp 2 3 3
pspsp ssrpr 1 2 0
pspsp ssrrr 1 0 1
pspsp ssrrs 1 0 0
pspsr pppsp 0 0 1
pspsr pppsr 1 0 0
pspsr pppss 0 1 0
pspsr prrps 1 0 0
pspsr psppp 9 11 13
pspsr psppr 1 0 0
pspsr pspps 0 0 4
pspsr psprs 1 0 0
pspsr pspsp 1 0 1
pspsr psrpp 1 1 0
pspsr psspr 2 2 1
pspsr pssrs 0 1 0
pspsr rprpr 1 0 0
pspsr rrppp 1 0 2
pspsr rrppr 0 0 1
pspsr rrpps 1 0 0
pspsr rrpsp 0 0 1
pspsr rrpsr 0 1 0
pspsr rrrps 0 0 1
pspsr rrrsp 1 0 2
pspsr rrrss 0 0 2
pspsr rspss 0 0 1
pspsr rsrpp 5 1 13
pspsr rsrps 0 0 1
pspsr rssps 0 0 2
pspsr spppp 0 1 0
pspsr spppr 0 1 0
pspsr ssrpp 5 1 7
pspsr ssrpr 2 1 0
pspsr ssrps 0 0 1
pspsr ssrrr 2 1 1
pspss pppsp 1 0 0
pspss psppp 4 4 4
pspss psppr 0 0 2
pspss pspps 0 1 0
pspss psspr 0 3 0
pspss rrppp 0 1 0
pspss rrprp 1 0 0
pspss rrpsp 1 0 0
pspss rrrsp 1 0 1
pspss rspps 0 0 1
pspss rsrpp 4 0 1
pspss rsspp 1 0 0
pspss rssps 0 1 0
pspss ssrpp 2 1 2
pspss ssrpr 2 0 1
pspss ssrps 0 1 0
pspss ssrrp 2 0 0
pspss ssrrr 2 4 1
pspss ssrrs 0 0 1
pspss ssspp 0 1 0
psr ppp 6 3 17
psr ppr 1 0 1
psr pps 0 0 1
psr prp 1 0 11
psr prr 8 0 12
psr psp 74 60 187
psr psr 1 2 1
psr pss 48 13 47
psr rpp 0 0 1
psr rpr 9 4 10
psr rps 0 1 0
psr rrp 20 10 38
psr rrr 34 11 56
psr rrs 2 1 4
psr rsp 3 1 6
psr rsr 52 41 101
psr rss 9 6 18
psr spp 7 7 12
psr spr 0 0 1
psr sps 1 0 0
psr srp 10 0 18
psr srr 1 0 0
psr ssp 4 0 2
psr ssr 124 95 188
psr sss 0 1 2
psrp pppp 0 2 0
psrp pppr 0 1 0
psrp ppps 5 5 3
psrp pprp 0 1 0
psrp ppsr 1 0 0
psrp prpp 0 1 1
psrp prps 3 2 4
psrp prrp 1 0 0
psrp prrs 5 6 0
psrp pspp 2 5 5
psrp pspr 0 2 0
psrp psps 25 95 45
psrp pssp 9 19 11
psrp pssr 0 1 0
psrp psss 3 1 0
psrp rpps 0 1 0
psrp rprp 0 7 2
psrp rrpp 0 3 1
psrp rrpr 0 0 1
psrp rrps 8 11 14
psrp rrrp 2 4 1
psrp rrrr 0 2 2
psrp rrrs 9 20 13
psrp rrsp 0 2 1
psrp rrss 1 0 0
psrp rspr 0 1 0
psrp rsps 0 2 3
psrp rsrp 1 1 0
psrp rsrr 0 1 1
psrp rsrs 21 56 18
psrp rssp 2 1 1
psrp rsss 6 7 1
psrp sppp 1 0 0
psrp sppr 1 3 1
psrp spps 1 3 2
psrp sprs 0 1 0
psrp srpp 1 2 1
psrp srps 3 6 3
psrp sspp 1 1 0
psrp ssrp 7 6 2
psrp ssrr 0 1 0
psrp ssrs 45 84 38
psrp sssr 0 1 0
psrp ssss 0 1 0
psrpp pppsp 0 1 0
psrpp pppsr 1 1 0
psrpp prppr 0 1 0
psrpp prpsr 1 0 0
psrpp prpss 0 0 3
psrpp psppr 0 0 2
psrpp pspps 1 2 0
psrpp pspsp 0 0 1
psrpp pspsr 12 14 15
psrpp pspss 0 0 1
psrpp psspr 1 6 3
psrpp rprpr 0 1 1
psrpp rrppr 0 0 1
psrpp rrprp 0 0 1
psrpp rrpsp 3 1 0
psrpp rrpss 0 0 10
psrpp rrrpr 0 1 0
psrpp rrrrr 0 1 1
psrpp rrrsp 0 0 2
psrpp rrrsr 2 4 2
psrpp rrrss 2 0 0
psrpp rrspr 0 1 0
psrpp rspsp 0 0 1
psrpp rspss 0 0 2
psrpp rsrrr 1 0 0
psrpp rsrsp 1 1 0
psrpp rsrsr 3 5 8
psrpp rsspp 0 0 1
psrpp rsssr 1 0 0
psrpp spprr 0 0 1
psrpp sppsr 0 0 1
psrpp sppss 0 0 1
psrpp srpsr 0 0 3
psrpp ssrpp 0 1 0
psrpp ssrpr 0 1 0
psrpp ssrsr 6 17 12
psrpp ssrss 0 0 1
psrpr pppsr 3 1 1
psrpr ppsrp 0 1 0
psrpr prpss 1 1 0
psrpr prrps 1 0 0
psrpr prrsr 1 2 1
psrpr prrss 0 0 1
psrpr pspps 0 2 0
psrpr pspsr 9 9 5
psrpr psspr 2 4 3
psrpr psssp 0 1 0
psrpr psssr 0 1 0
psrpr pssss 1 0 0
psrpr rrpsp 0 1 1
psrpr rrpss 0 6 0
psrpr rrrpr 0 1 0
psrpr rrrsp 0 1 0
psrpr rrrsr 2 3 1
psrpr rrrss 1 1 0
psrpr rrssr 1 0 0
psrpr rsrpr 0 1 0
psrpr rsrsr 8 10 2
psrpr rsspp 0 0 1
psrpr rssps 0 1 0
psrpr rsssp 0 1 1
psrpr rsssr 0 0 2
psrpr rssss 1 0 0
psrpr spppp 1 0 0
psrpr spprr 0 1 0
psrpr sppsr 0 1 0
psrpr srppr 0 1 0
psrpr srpsr 1 1 1
psrpr ssppr 1 0 0
psrpr ssrpp 0 3 1
psrpr ssrpr 0 2 0
psrpr ssrps 0 0 1
psrpr ssrsr 11 28 6
psrps ppppr 2 0 0
psrps pppsp 0 1 0
psrps pppsr 1 1 1
psrps pprpp 0 1 0
psrps prppp 1 0 0
psrps prpsp 1 0 0
psrps prpss 0 0 1
psrps prrsr 1 0 4
psrps prrss 1 0 0
psrps pspps 3 1 1
psrps psprr 0 0 1
psrps psprs 0 1 0
psrps pspsp 2 0 1
psrps pspsr 32 20 33
psrps pspss 2 0 0
psrps psspr 10 4 4
psrps pssrs 1 0 0
psrps psssp 1 0 0
psrps rprpr 3 1 2
psrps rrppr 2 1 0
psrps rrpsp 1 0 1
psrps rrpss 7 1 1
psrps rrrpp 1 0 0
psrps rrrpr 2 0 1
psrps rrrrr 1 0 0
psrps rrrrs 1 0 0
psrps rrrsp 2 0 0
psrps rrrsr 9 1 1
psrps rrrss 4 0 1
psrps rrspp 0 0 1
psrps rrsps 1 0 0
psrps rsprp 1 0 0
psrps rspss 0 1 1
psrps rsrpp 0 0 1
psrps rsrrs 1 0 0
psrps rsrsp 0 0 2
psrps rsrsr 26 8 18
psrps rsspp 0 0 1
psrps rsssp 3 0 0
psrps rsssr 1 1 2
psrps spprr 3 0 0
psrps sppsp 0 0 1
psrps sppss 1 0 1
psrps sprsr 1 0 0
psrps srppr 0 0 1
psrps srpps 0 0 1
psrps srpsr 0 1 2
psrps srpss 1 0 1
psrps ssppr 0 0 1
psrps ssrpp 3 1 0
psrps ssrps 0 0 1
psrps ssrrs 0 0 1
psrps ssrsp 2 0 1
psrps ssrsr 40 17 13
psrps ssrss 2 1 0
psrps sssrp 0 0 1
psrps sssss 1 0 0
psrr ppps 1 2 2
psrr pprs 1 0 0
psrr prps 1 0 0
psrr prrs 6 1 1
psrr pspp 0 0 3
psrr pspr 1 0 0
psrr psps 27 16 27
psrr psrs 0 0 1
psrr pssp 2 10 7
psrr psss 12 15 1
psrr rprp 2 2 1
psrr rprs 1 0 3
psrr rrpp 1 0 0
psrr rrpr 1 0 0
psrr rrps 6 1 11
psrr rrrp 1 2 4
psrr rrrs 8 7 11
psrr rrsp 1 1 0
psrr rsps 3 0 0
psrr rsrp 0 1 0
psrr rsrr 0 1 0
psrr rsrs 13 13 21
psrr rssp 0 2 0
psrr rsss 4 2 1
psrr sppr 2 1 1
psrr spps 1 0 1
psrr spss 0 1 0
psrr srpp 0 1 1
psrr srps 6 0 2
psrr srrr 1 0 0
psrr sspp 2 1 0
psrr sspr 1 0 0
psrr ssrp 2 0 2
psrr ssrr 3 0 1
psrr ssrs 41 27 42
psrrp pppsr 1 0 0
psrrp pppss 0 0 1
psrrp prrsr 0 0 1
psrrp psppr 0 1 0
psrrp pspps 1 1 0
psrrp pspsp 14 5 7
psrrp psrsr 0 1 0
psrrp psspr 1 3 3
psrrp psssp 0 0 1
psrrp rprpr 0 0 1
psrrp rprsr 0 1 0
psrrp rprss 0 1 1
psrrp rrpsp 0 1 2
psrrp rrpss 1 6 1
psrrp rrrpp 0 1 0
psrrp rrrps 1 1 1
psrrp rrrsp 2 1 1
psrrp rrrss 2 2 2
psrrp rsrsp 0 1 1
psrrp rsrsr 1 0 0
psrrp rsrss 4 8 6
psrrp rsssp 1 0 0
psrrp spprr 0 1 0
psrrp sppsp 1 0 0
psrrp srppr 0 1 0
psrrp srpsp 0 0 2
psrrp ssrps 0 0 1
psrrp ssrrp 1 0 0
psrrp ssrsp 5 6 7
psrrp ssrsr 3 1 2
psrrp ssrss 3 6 7
psrrr pppss 1 0 0
psrrr pprss 0 1 0
psrrr prpsr 0 1 0
psrrr prrsp 4 0 0
psrrr prrss 1 1 0
psrrr psprr 0 1 0
psrrr pspsp 17 3 5
psrrr pspsr 0 1 0
psrrr pspss 1 0 0
psrrr psspr 1 0 1
psrrr psssp 0 10 1
psrrr psssr 0 0 1
psrrr rprpr 0 1 1
psrrr rprss 0 0 1
psrrr rrpps 1 0 0
psrrr rrprs 0 0 1
psrrr rrpsp 1 0 0
psrrr rrpss 4 1 0
psrrr rrrps 0 0 1
psrrr rrrsp 0 2 0
psrrr rrrss 4 0 2
psrrr rrspr 1 0 0
psrrr rspsp 2 0 0
psrrr rspss 0 0 1
psrrr rsrsp 0 0 1
psrrr rsrsr 0 1 0
psrrr rsrss 7 2 2
psrrr rsssp 3 0 1
psrrr spprp 1 0 0
psrrr spprs 1 0 0
psrrr sppss 0 0 1
psrrr srpsp 5 1 0
psrrr srrrp 0 0 1
psrrr ssppp 0 0 1
psrrr ssppr 0 0 1
psrrr ssprp 1 0 0
psrrr ssrps 0 0 2
psrrr ssrrp 1 0 1
psrrr ssrrr 0 0 1
psrrr ssrsp 10 2 3
psrrr ssrsr 1 1 2
psrrr ssrss 11 5 4
psrrs pppss 0 1 1
psrrs prrss 0 0 1
psrrs pspsp 3 3 8
psrrs pspsr 1 0 0
psrrs pspss 0 0 1
psrrs psspr 1 3 2
psrrs pssps 1 1 1
psrrs psssp 0 7 8
psrrs rprpp 0 0 1
psrrs rprps 0 0 1
psrrs rrpss 1 0 0
psrrs rrrps 1 0 1
psrrs rrrsp 0 0 3
psrrs rrrss 1 0 3
psrrs rrsps 0 0 1
psrrs rsrpr 0 0 1
psrrs rsrrr 0 0 1
psrrs rsrsr 0 1 0
psrrs rsrss 4 4 3
psrrs rsspp 1 0 0
psrrs rsspr 0 1 0
psrrs rsssp 0 1 1
psrrs spprp 1 0 0
psrrs spsss 1 0 0
psrrs srpps 0 1 0
psrrs ssppp 0 0 1
psrrs ssrsp 2 0 9
psrrs ssrsr 0 4 2
psrrs ssrss 2 3 5
psrs pppp 0 0 1
psrs ppps 0 1 1
psrs pspp 1 1 1
psrs psps 18 13 26
psrs psrp 0 1 0
psrs psrr 0 1 0
psrs pssp 1 6 4
psrs psss 0 0 2
psrs rprp 0 0 1
psrs rprs 0 0 2
psrs rpsp 0 0 1
psrs rrpp 1 0 0
psrs rrps 2 2 5
psrs rrrp 1 1 2
psrs rrrs 1 2 3
psrs rrsp 0 0 1
psrs rsps 0 1 0
psrs rsrs 7 3 29
psrs rssp 0 1 2
psrs rsss 1 0 2
psrs sppr 0 2 3
psrs spps 1 1 0
psrs ssrp 1 0 1
psrs ssrr 1 0 3
psrs ssrs 29 19 40
psrs sssp 0 1 0
psrsp pppps 0 0 1
psrsp pppsr 1 0 0
psrsp psppr 0 1 0
psrsp pspsp 6 5 2
psrsp pspss 8 1 3
psrsp psspr 1 2 1
psrsp pssss 1 1 0
psrsp rprpr 0 0 1
psrsp rprsr 1 0 0
psrsp rprss 0 0 1
psrsp rpspp 1 0 0
psrsp rrpsp 0 1 0
psrsp rrpss 3 0 1
psrsp rrrps 0 1 0
psrsp rrrsr 0 1 0
psrsp rrrss 1 0 1
psrsp rrsps 0 0 1
psrsp rsrsr 2 0 1
psrsp rsrss 10 11 2
psrsp rssps 0 2 0
psrsp rsssp 1 0 1
psrsp spprr 0 0 1
psrsp spprs 1 1 0
psrsp ssrpp 0 0 1
psrsp ssrrp 1 0 0
psrsp ssrrs 1 0 0
psrsp ssrsp 5 4 0
psrsp ssrsr 1 0 0
psrsp ssrss 17 5 6
psrsr pspps 0 1 0
psrsr pspsp 0 8 3
psrsr pspsr 0 0 2
psrsr pspss 2 1 2
psrsr pssps 0 1 0
psrsr rrppr 0 0 1
psrsr rrpss 0 0 2
psrsr rrrps 0 0 1
psrsr rrrss 0 1 0
psrsr rsrsr 0 1 0
psrsr rsrss 0 0 2
psrsr rsssr 0 1 0
psrsr sppsr 0 0 1
psrsr ssrps 0 0 1
psrsr ssrrr 0 0 1
psrsr ssrsp 1 1 1
psrsr ssrss 5 9 11
psrss pppss 1 0 0
psrss psppp 1 0 0
psrss pspsp 3 3 5
psrss pspss 1 1 0
psrss psrpp 0 1 0
psrss psrrs 0 0 1
psrss psspp 0 1 0
psrss psspr 1 1 3
psrss rrpsp 0 0 1
psrss rrpss 0 0 1
psrss rrrps 0 1 0
psrss rrrss 2 0 0
psrss rspsp 0 0 1
psrss rsrss 1 1 0
psrss rssps 0 1 0
psrss spprs 0 0 2
psrss sppss 0 1 0
psrss ssrsp 0 2 0
psrss ssrss 4 6 7
psrss ssspr 1 0 0
pss ppp 3 7 5
pss pps 1 0 0
pss prp 3 2 4
pss prr 2 8 4
pss prs 0 2 0
pss psp 97 71 60
pss psr 3 2 2
pss pss 27 28 20
pss rpp 0 0 2
pss rpr 9 8 2
pss rps 0 2 1
pss rrp 27 16 14
pss rrr 14 52 33
pss rrs 0 1 2
pss rsp 6 3 4
pss rsr 75 116 53
pss rss 11 18 8
pss spp 7 7 2
pss srp 6 9 5
pss srr 0 1 0
pss srs 0 1 0
pss ssp 1 4 3
pss ssr 127 206 85
pss sss 1 6 0
pssp pppp 1 0 0
pssp pppr 3 1 0
pssp prps 2 1 1
pssp prrr 2 0 2
pssp pspp 17 10 16
pssp pspr 6 3 2
pssp psps 1 2 3
pssp psrp 0 1 0
pssp psrr 1 0 0
pssp pssp 4 4 3
pssp pssr 4 1 3
pssp psss 1 0 0
pssp rpps 1 0 1
pssp rprp 0 1 0
pssp rprr 1 0 0
pssp rpsr 0 1 0
pssp rrpp 8 0 5
pssp rrpr 0 1 0
pssp rrrr 7 3 14
pssp rrrs 5 0 3
pssp rrss 0 0 2
pssp rspp 0 1 3
pssp rsrp 0 2 0
pssp rsrr 21 10 15
pssp rsrs 0 0 2
pssp rssp 2 1 1
pssp rssr 3 0 0
pssp sppr 1 0 1
pssp srpr 2 2 1
pssp sspr 1 1 1
pssp ssrr 49 16 19
psspp prpsp 0 0 1
psspp prrrp 0 2 0
psspp psppp 2 1 0
psspp psppr 1 0 1
psspp pspps 5 3 3
psspp psprp 0 2 0
psspp pspsr 1 0 1
psspp pspss 1 0 0
psspp psspp 1 0 0
psspp psspr 1 0 1
psspp pssrp 2 1 0
psspp rppss 1 0 0
psspp rrppp 3 0 1
psspp rrppr 1 0 0
psspp rrrrp 1 2 2
psspp rrrrs 4 2 3
psspp rrrsp 1 0 1
psspp rrrss 0 0 1
psspp rrssr 1 0 0
psspp rrsss 0 0 1
psspp rsppp 1 0 0
psspp rspps 0 2 0
psspp rsrrp 8 3 4
psspp rsrss 1 1 0
psspp rsspr 1 0 0
psspp spprp 1 0 0
psspp srprp 1 0 0
psspp ssprr 1 0 0
psspp ssrrp 8 6 5
psspr ppprr 2 0 0
psspr prpsp 1 0 1
psspr prrrr 0 1 0
psspr prrrs 0 1 0
psspr psppp 1 1 0
psspr pspps 3 5 5
psspr psprp 0 0 2
psspr psprr 0 0 2
psspr psprs 2 0 0
psspr pspsr 0 1 0
psspr psrrr 0 0 1
psspr psspp 0 1 0
psspr psspr 0 3 0
psspr pssrp 1 0 2
psspr pssrr 0 0 1
psspr psssp 0 0 1
psspr rppss 1 0 0
psspr rprrr 0 0 1
psspr rrppp 3 2 2
psspr rrpps 0 1 0
psspr rrrrp 1 0 1
psspr rrrrs 2 2 1
psspr rrrsp 2 1 1
psspr rrrss 1 0 0
psspr rsrrp 4 6 9
psspr rsrrr 0 1 0
psspr rsspr 1 0 0
psspr rssps 0 1 0
psspr rssrp 3 0 0
psspr spprs 0 0 1
psspr srprp 0 1 0
psspr srprr 0 0 1
psspr ssprs 1 0 0
psspr ssrrp 10 18 16
psspr ssrrr 0 0 1
psspr ssrrs 1 0 2
pssps ppprr 1 0 0
pssps prpsp 1 0 0
pssps psppp 0 1 1
pssps pspps 3 1 4
pssps psprp 0 1 1
pssps psprr 0 0 1
pssps pspsr 0 1 0
pssps pspss 0 0 1
pssps psrpr 1 0 0
pssps psspp 2 2 0
pssps pssrp 1 0 0
pssps rprps 0 1 0
pssps rpsrr 0 1 0
pssps rrprp 1 0 0
pssps rrrrs 1 1 1
pssps rspps 1 0 0
pssps rsrpp 1 0 0
pssps rsrpr 1 0 0
pssps rsrrp 4 2 3
pssps rssps 1 0 0
pssps srprp 1 0 1
pssps ssprs 1 0 0
pssps ssrrp 10 2 4
pssr pppr 0 1 1
pssr ppps 0 1 0
pssr ppsp 0 1 0
pssr prps 0 3 0
pssr prrr 0 1 0
pssr prrs 1 0 0
pssr pspp 30 9 33
pssr pspr 11 7 2
pssr psps 1 2 1
pssr psrp 1 0 1
pssr psrr 0 0 1
pssr pssp 3 1 4
pssr pssr 5 5 6
pssr psss 2 0 1
pssr rprp 1 0 2
pssr rprr 2 0 2
pssr rprs 1 0 1
pssr rrpp 9 2 9
pssr rrpr 3 0 1
pssr rrps 1 0 0
pssr rrrr 4 1 4
pssr rrrs 1 1 3
pssr rspp 2 0 3
pssr rsrp 0 0 1
pssr rsrr 29 14 27
pssr rsrs 0 0 2
pssr rssp 1 4 3
pssr rssr 1 0 2
pssr sppp 0 1 0
pssr sppr 1 1 4
pssr srpr 2 1 2
pssr srps 0 0 1
pssr sspr 1 0 0
pssr ssrp 2 0 1
pssr ssrr 52 26 44
pssr ssrs 1 0 0
pssr sssr 0 0 1
pssrp ppprr 0 1 0
pssrp psppp 2 7 2
pssrp pspps 6 7 9
pssrp psprp 1 1 0
pssrp pspsr 0 1 0
pssrp psrpp 0 0 1
pssrp psrrp 1 0 0
pssrp psspp 0 0 1
pssrp psspr 0 0 1
pssrp pssps 0 1 1
pssrp pssrp 0 0 1
pssrp pssrr 1 3 1
pssrp psssr 1 0 0
pssrp rprpp 0 1 0
pssrp rprpr 0 1 0
pssrp rprrp 0 1 1
pssrp rprsr 0 1 0
pssrp rrppp 1 2 5
pssrp rrpps 0 1 0
pssrp rrprr 1 0 0
pssrp rrrrp 3 0 1
pssrp rrrsp 0 1 0
pssrp rrrss 0 0 2
pssrp rsppp 1 0 2
pssrp rsrpr 0 1 0
pssrp rsrrp 7 6 11
pssrp rsrrr 0 1 0
pssrp rsrrs 2 0 0
pssrp rsrss 1 1 0
pssrp rsspr 0 2 1
pssrp rssrp 1 0 1
pssrp spprr 1 1 0
pssrp spprs 1 1 0
pssrp srprp 2 0 0
pssrp srpsp 0 0 1
pssrp ssrpr 1 0 0
pssrp ssrrp 20 10 10
pssrp ssrrs 0 1 2
pssrp sssrp 0 0 1
pssrr psppp 3 1 2
pssrr pspps 10 6 8
pssrr psprp 5 0 4
pssrr psprr 1 0 0
pssrr pspss 0 1 0
pssrr psrps 0 1 0
pssrr psspp 0 0 1
pssrr pssps 0 0 1
pssrr pssrr 2 0 2
pssrr pssrs 0 1 0
pssrr psssp 1 0 0
pssrr pssss 0 0 1
pssrr rprps 1 0 0
pssrr rprrp 0 0 1
pssrr rprrs 0 0 1
pssrr rprss 0 0 1
pssrr rrppp 9 0 0
pssrr rrprp 0 1 1
pssrr rrprs 0 0 1
pssrr rrpss 0 0 1
pssrr rrrrp 2 0 1
pssrr rrrss 1 0 0
pssrr rsppp 1 0 0
pssrr rspps 1 0 0
pssrr rsrrp 12 4 6
pssrr rsrrs 2 0 2
pssrr rsspr 0 0 1
pssrr rssrp 1 0 0
pssrr spprs 1 0 0
pssrr srprr 0 1 0
pssrr srprs 0 1 0
pssrr ssprr 0 1 0
pssrr ssrpp 0 1 0
pssrr ssrps 1 0 0
pssrr ssrrp 13 5 29
pssrr ssrrr 0 0 1
pssrr ssrrs 2 0 2
pssrr ssrsr 1 0 0
pssrs ppprr 0 0 1
pssrs pppsr 0 0 1
pssrs ppspp 0 0 1
pssrs prpsr 1 1 1
pssrs prrrr 1 0 0
pssrs psppp 0 2 2
pssrs pspps 1 3 1
pssrs psprp 1 1 4
pssrs pspsp 0 0 1
pssrs pspsr 0 0 1
pssrs pssps 0 1 0
pssrs pssrr 1 0 2
pssrs pssrs 2 0 0
pssrs rrppp 1 1 0
pssrs rrrss 1 0 0
pssrs rsrrp 5 3 5
pssrs rsspr 0 0 2
pssrs rssps 0 0 2
pssrs sppps 0 0 1
pssrs spprs 1 0 0
pssrs srprp 0 1 0
pssrs ssrrp 8 4 12
pssrs ssrrr 1 0 0
pssrs ssrrs 0 0 1
psss pppp 1 1 0
psss pppr 0 2 2
psss ppps 0 1 0
psss prps 0 1 1
psss prrp 1 0 0
psss prrr 2 2 2
psss prrs 0 1 0
psss prsr 0 1 0
psss prss 1 0 0
psss pspp 11 32 4
psss pspr 2 3 8
psss psps 4 2 4
psss psrp 0 0 2
psss pssp 4 5 3
psss pssr 3 3 4
psss psss 1 1 0
psss rprp 2 3 1
psss rprr 0 2 0
psss rpsr 0 0 1
psss rpss 0 1 0
psss rrpp 3 8 3
psss rrpr 0 0 1
psss rrps 1 0 0
psss rrrp 1 0 0
psss rrrr 7 15 14
psss rrrs 3 5 5
psss rrsr 0 1 0
psss rspp 1 1 1
psss rsrp 1 2 1
psss rsrr 17 61 25
psss rsrs 2 2 1
psss rssp 2 4 1
psss rssr 1 5 2
